sheet	longname	prefix	key	keystrokes	jump	selection	modifies	logged	video	menupath	helpstr
global	save-cmdlog		^D	^D	n	n	n	n		meta-cmdlog-save	save CommandLog to new .vd file
global	setdiff-sheet									sheet-set-diff	set this sheet as the diff sheet for all new sheets
global	sheets		S	S	static meta	n	n	y		meta-sheets	open Sheets Sheet
global	sheets-graveyard	g	S	gS	static meta	n	n	y		sheets-graveyard	open Sheets Graveyard
global	show-version		^V	^V	n	n	n	n		info-version	show version information on status line
global	status				n	n	n	n			show given message on status line
global	statuses		^P	^P	static meta	n	n	n		meta-status-history	open Status History
global	stop-replay		^K	^K	n	n	n	n		meta-replay-cancel	cancel current replay
global	suspend		^Z	^Z	suspend	n	n	n			suspend VisiData process
global	sysopen-help		^H	^H	external	n	n	n			view vd man page
global	threads-all		^T	^T	meta	n	n	n		meta-threads	open Threads Sheet
global	toggle-profile		^_	^_	n	n	n	n		meta-threads-profile	turn profiling on for main process
global	visidata-dir	g	D	gD	static	n	n	y		meta-visidata-dir	open .visidata directory
XmlSheet	addcol-xmlattr	z	a	za	n	n	y	y			add column for xml attribute
XmlSheet	dive-row		Enter	Enter	y	n	n	y			load table referenced in current row into memory
XmlSheet	visibility		v	v	n	n	n	y			show only columns in current row attributes
ThreadsSheet	cancel-thread		^C	^C	n	n	n	n		cancel-thread	abort thread at current row
ThreadsSheet	profile-row		Enter	Enter	y	n	n	n		sheet-profile	push profile sheet for this action
SheetsSheet	cancel-row	z	^C	z^C	n	n	n	n			abort thread on current row
SheetsSheet	cancel-rows	gz	^C	gz^C	n	use	n	n			abort thread on selected rows
SheetsSheet	columns-selected	g	C	gC	y	y	n	y		sheet-columns-selected	merge the selected sheets with visible columns from all, keeping rows according to jointype
SheetsSheet	describe-selected	g	I	gI	y	y	n	y		sheet-describe-selected	open Describe Sheet with all columns from selected sheets
SheetsSheet	join-sheets		&	&	y	y	n	y		sheet-join	merge the selected sheets with visible columns from all, keeping rows according to jointype
SheetsSheet	open-row		Enter	Enter	y	n	n	y		sheet-open-row	open sheet referenced in current row
SheetsSheet	open-rows	g	Enter	gEnter	y	use	n	y		sheet-open-rows	push selected sheets to top of sheets stack
SheetsSheet	reload-all	g	^R	g^R	n	n	unmodifies	y		reload-all	reload all selected sheets
SheetPivot	dive-cell	z	Enter	zEnter	y	n	n	y		open-source-cell	open sheet of source rows aggregated in current cell
SheetPivot	dive-row		Enter	Enter	y	n	n	y		open-source-row	open sheet of source rows aggregated in current row
SheetObject	dive-row		Enter	Enter	y	n	n	y		python-dive-row	dive further into Python object
SheetObject	edit-cell		e	e	n	n	y	y			edit contents of current cell
SheetObject	hide-hidden	z	v	zv	n	n	n	y			hide methods and hidden properties
SheetObject	show-hidden	g	v	gv	n	n	n	y			show methods and hidden properties
SheetObject	visibility		v	v	n	n	n	y			toggle show/hide for methods and hidden properties
SheetNamedTuple	dive-row		Enter	Enter	y	n	n	y			dive further into Python object
SheetH5Obj	dive-metadata		A	A	y	n	n	y			open metadata sheet for this object
SheetH5Obj	dive-row		Enter	Enter	y	n	n	y			load table referenced in current row into memory
SheetFreqTable	dup-row		Enter	Enter	y	n	n	y		open-cell-source	open copy of source sheet with rows described in current cell
SheetFreqTable	select-row		s	s	n	change	n	y		filter-source-select-bin	select these entries in source sheet
SheetFreqTable	stoggle-row		t	t	n	change	n	y		filter-source-toggle-bin	toggle these entries in source sheet
SheetFreqTable	unselect-row		u	u	n	change	n	y		filter-source-unselect-bin	unselect these entries in source sheet
SheetDict	dive-row		Enter	Enter	y	n	n	y		python-dive-row	dive further into Python object
SheetDict	edit-cell		e		n	n	y	y		modify-edit-cell	edit contents of current cell
Sheet	add-row		a	a	n	n	y	y	3	modify-add-row-blank	insert a blank row
Sheet	add-rows	g	a	ga	n	n	y	y	3	modify-add-row-many	add N blank rows
Sheet	addcol-bulk	gz	a	gza	n	n	y	y		modify-add-column-manyblank	add N empty columns
Sheet	addcol-expr		=	=	n	n	y	y	1,3,5	modify-add-column-expr	create new column from Python expression, with column names as variables
Sheet	addcol-new	z	a	za	n	n	y	y	3	modify-add-column-blank	add an empty column
Sheet	addcol-sh	z	;	z;	n	n	y	y			create new column from bash expression, with $columnNames as variables
Sheet	addcol-subst		*	*	n	n	y	y	5	modify-add-column-regex-transform	add column derived from current column, replay regex with subst (may include \1 backrefs)
Sheet	aggregate-col		+	+	n	n	n	y	5	column-aggregator-add	add aggregator to current column
Sheet	aggregate-numerics	g	+	g+	n	n	n	y			add aggregator to all numeric columns
Sheet	cache-col	z	'	z'	n	n	n	y		column-cache-clear	add/reset cache for current column
Sheet	cache-cols	gz	'	gz'	n	n	n	y		column-cache-clear-all	add/reset cache for all visible columns
Sheet	capture-col		;	;	n	n	n	y	1,5	modify-add-column-regex-capture	add new column from capture groups of regex; requires example row
Sheet	columns-sheet		C	C	meta	n	n	y	4,5	meta-columns-sheet	open Columns Sheet
Sheet	contract-col		)	)	n	n	n	y			unexpand current column; restore original column and remove other columns at this level
Sheet	copy-cell	z	y	zy	n	n	n	y		data-clipboard-copy-cell	yank (copy) current cell to clipboard
Sheet	copy-cells	gz	y	gzy	n	use	n	y			yank (copy) contents of current column for selected rows to clipboard
Sheet	copy-row		y	y	n	n	n	y		data-clipboard-copy-row	yank (copy) current row to clipboard
Sheet	copy-selected	g	y	gy	n	use	n	y	4	data-clipboard-copy-selected	yank (copy) selected rows to clipboard
Sheet	delete-cell	z	d	zd	n	n	y	y		modify-clear-cell	delete (cut) current cell and move it to clipboard
Sheet	delete-cells	gz	d	gzd	n	use	y	y		modify-clear-column-selected	delete (cut) contents of current column for selected rows and move them to clipboard
Sheet	delete-row		d	d	n	n	y	y	1,2,5	modify-delete-row	delete current row and move it to clipboard
Sheet	delete-selected	g	d	gd	n	use	y	y	5	modify-delete-selected	delete selected rows and move them to clipboard
Sheet	describe-sheet		I	I	derived	n	n	y		data-describe	open descriptive statistics for all visible columns
Sheet	dive-cell	z	Enter	zEnter	derived	n	n	y			
Sheet	dive-row		Enter	Enter	derived	n	n	y			
Sheet	dup-rows	g	"	g"	derived	use	n	y		sheet-duplicate-all	open duplicate sheet with all rows
Sheet	dup-rows-deep	gz	"	gz"	copy	use	n	y		sheet-duplicate-deepcopy	open duplicate sheet with deepcopy of all rows
Sheet	dup-selected		"	"	derived	use	n	y	2	sheet-duplicate-selected	open duplicate sheet with only selected rows
Sheet	dup-selected-deep	z	"	z"	copy	use	n	y		sheet-duplicate-deepcopy-selected	open duplicate sheet with deepcopy of selected rows
Sheet	edit-cell		e	e	n	n	y	y	3,4,5	modify-edit-cell	edit contents of current cell
Sheet	edit-cells	g	e	ge	n	use	y	y	4,5	modify-edit-column-selected	set contents of current column for selected rows to same input
Sheet	error-cell	z	^E	z^E	meta	n	n	n			view traceback for error in current cell
Sheet	expand-col		(	(	n	n	n	y	5	expand_col	expand current column of containers fully
Sheet	expand-col-depth	z	(	z(	n	n	n	y		expand_col_deep	expand current column of containers to given depth (0=fully)
Sheet	expand-cols	g	(	g(	n	n	n	y		expand_vcols	expand all visible columns of containers fully
Sheet	expand-cols-depth	gz	(	gz(	n	n	n	y		expand_vcols_deep	expand all visible columns of containers to given depth (0=fully)
Sheet	fill-nulls		f	f	n	n	y	y		modify-fill-column	fills null cells in current column with contents of non-null cells up the current column
Sheet	freeze-col		'	'	n	n	n	y		column-freeze	add a frozen copy of current column with all cells evaluated
Sheet	freeze-sheet	g	'	g'	copy	n	n	y		sheet-freeze	open a frozen copy of current sheet with all visible columns evaluated
Sheet	freq-col		F	F	derived	n	n	y		data-aggregate-column	open Frequency Table grouped on current column
